更新日,dailyDose,服用禁止,妊婦・授乳婦注意,対象成分含有フラグ,成分情報_JSON,用法用量_JSON,付加情報_JSON,製品の特長,製品名,指定濫用(＊：同ﾌﾞﾗﾝﾄﾞ内に対象含む),package,大小分岐,注釈･補足等,"妊婦･授乳婦､医療現場における位置づけ
　成育医療センター（妊娠と薬情報センター）は、L分類をベースに、「日本の医療現場･OTCの実情に合わせた独自の安全リスト」を国（厚労省事業）の予算で常に最新に更新｡L1安全〜L5危険｡L3は、ﾃﾞｰﾀの不足の否定はできないが、「授乳はそのまま続けて構いません」と案内するのが標準的
　オーストラリア分類（TGA）は、2015年のFDA分類廃止以降､世界標準として「妊婦への薬のリスク」を最も客観的に数値化｡A最安全〜X禁忌｡「Cの薬は原則として避ける」｡（NSAIDsは、妊娠初期〜中期までは「C」だが、妊娠後期（28週以降）「禁忌」）"
2026/07/02 1:16:45,6,15歳未満の小児,出産予定日12週以内の妊婦は服用しないこと。授乳中の人は服用しないか、服用する場合は授乳を避けること。妊婦または妊娠していると思われる人は服用前に相談すること。,"プソイドエフェドリン, ジヒドロコデイン","{""basis"":""6錠中"",""ingredients"":[{""name"":""イブプロフェン"",""id"":""D00126"",""amount"":450,""unit"":""mg""},{""name"":""塩酸プソイドエフェドリン"",""id"":""D00485"",""amount"":135,""unit"":""mg""},{""name"":""クロルフェニラミンマレイン酸塩"",""id"":""D00665"",""amount"":7.5,""unit"":""mg""},{""name"":""ジヒドロコデインリン酸塩"",""id"":""D01481"",""amount"":24,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":75,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用しないこと。授乳中の人は服用しないか、服用する場合は授乳を避けること。妊婦または妊娠していると思われる人は服用前に相談すること。"",""drug_category"":""かぜ薬（内用）"",""category_limit"":7,""packages"":[{""package_type"":""18錠"",""estimated_days"":3,""capacity_judgment"":""小容量""},{""package_type"":""30錠"",""estimated_days"":5,""capacity_judgment"":""小容量""}]}",かぜの諸症状（のどの痛み，せき，発熱，鼻づまり，鼻水，くしゃみ，悪寒，頭痛，関節の痛み，筋肉の痛み）の緩和。イブプロフェンの解熱鎮痛作用でのどの痛み・発熱などを緩和し、ジヒドロコデインリン酸塩がせき中枢に、塩酸プソイドエフェドリンが鼻粘膜の充血に働き、鼻づまりを緩和。5種の成分がバランスよくはたらき、のみやすい小型の白いカプレットタイプの錠剤。,ベンザブロックL,〇,,,,
2026/07/02 1:29:23,6,15歳未満の小児,出産予定日12週以内の妊婦は服用不可。妊婦または妊娠していると思われる人、授乳中の人は服用前に相談すること。,"デキストロメトルファン, プソイドエフェドリン","{""basis"":""6錠中"",""ingredients"":[{""name"":""イブプロフェン"",""id"":""D00126"",""amount"":600,""unit"":""mg""},{""name"":""トラネキサム酸"",""id"":""D01136"",""amount"":750,""unit"":""mg""},{""name"":""デキストロメトルファン臭化水素酸塩水和物"",""id"":""D00848"",""amount"":48,""unit"":""mg""},{""name"":""ブロムヘキシン塩酸塩"",""id"":""D01778"",""amount"":12,""unit"":""mg""},{""name"":""グアイフェネシン"",""id"":""D00337"",""amount"":250,""unit"":""mg""},{""name"":""プソイドエフェドリン塩酸塩"",""id"":""D00485"",""amount"":135,""unit"":""mg""},{""name"":""d-クロルフェニラミンマレイン酸塩"",""id"":""D00668"",""amount"":3.5,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":75,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用不可。妊婦または妊娠していると思われる人、授乳中の人は服用前に相談すること。"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":2,""capacity_judgment"":""小容量""},{""package_type"":""24錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",本製品はイブプロフェン600mg（1日量）を配合し、のどの痛みや発熱を抑えます。トラネキサム酸が粘膜の炎症を鎮め、デキストロメトルファンがせき中枢に作用してせきをしずめます。8種の成分配合で、かぜの諸症状を総合的に緩和する、のみやすい小型の白色～帯黄白色のカプレットタイプ錠剤です。,ベンザブロックLプレミアムDX,〇,,,,
2026/07/02 1:30:56,6,15歳未満,妊婦または妊娠していると思われる人、授乳中の人は服用前に医師、薬剤師または登録販売者に相談すること。,"デキストロメトルファン, プソイドエフェドリン","{""basis"":""6錠中"",""ingredients"":[{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":900,""unit"":""mg""},{""name"":""d-クロルフェニラミンマレイン酸塩"",""id"":""D00668"",""amount"":3.5,""unit"":""mg""},{""name"":""プソイドエフェドリン塩酸塩"",""id"":""D00485"",""amount"":135,""unit"":""mg""},{""name"":""ベラドンナ総アルカロイド"",""id"":null,""amount"":0.3,""unit"":""mg""},{""name"":""デキストロメトルファン臭化水素酸塩水和物"",""id"":""D00848"",""amount"":48,""unit"":""mg""},{""name"":""ブロムヘキシン塩酸塩"",""id"":""D01778"",""amount"":12,""unit"":""mg""},{""name"":""トラネキサム酸"",""id"":""D01136"",""amount"":420,""unit"":""mg""},{""name"":""無水カフェイン"",""id"":""D00528"",""amount"":75,""unit"":""mg""},{""name"":""リボフラビン"",""id"":""D00050"",""amount"":12,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15歳未満""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""妊婦または妊娠していると思われる人、授乳中の人は服用前に医師、薬剤師または登録販売者に相談すること。"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":2,""capacity_judgment"":""小容量""},{""package_type"":""24錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",かぜの諸症状（鼻水、鼻づまり、のどの痛み、くしゃみ、せき、たん、発熱、頭痛、関節・筋肉の痛み）を緩和する総合感冒薬。d-クロルフェニラミンマレイン酸塩、プソイドエフェドリン塩酸塩、ベラドンナ総アルカロイドなど9種の成分を配合し、特に鼻水・鼻づまり・くしゃみに効果を発揮します。のみやすい小型の淡黄色のカプレット錠です。,ベンザブロックSプレミアムDX,〇,,,,
2026/07/02 1:32:36,6,15才未満,妊婦または妊娠していると思われる人は服用前に医師、薬剤師または登録販売者に相談すること,デキストロメトルファン,"{""basis"":""6錠中"",""ingredients"":[{""name"":""デキストロメトルファン臭化水素酸塩水和物"",""id"":""D00848"",""amount"":90,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15才未満""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""妊婦または妊娠していると思われる人は服用前に医師、薬剤師または登録販売者に相談すること"",""drug_category"":""鎮咳去痰薬"",""category_limit"":5,""packages"":[{""package_type"":""20錠"",""estimated_days"":3.3,""capacity_judgment"":""小容量""},{""package_type"":""40錠"",""estimated_days"":6.7,""capacity_judgment"":""大容量""}]}",メジコンせき止め錠Proは、せき中枢に直接作用し、つらいせきの症状にすぐれた効果を発揮する非麻薬性のせき止め薬です。,メジコンせき止め錠Pro,〇,無→補完,〇,(参考)メジコン「こどもせき止めシロップPro」は要指導リスト入り。「せき止め錠Pro」は、3年経過し第2類医薬品に移行済｡(指定濫用は対象),
2026/07/02 1:34:58,6,15歳未満の小児,出産予定日12週以内の妊婦は服用不可。授乳中の人は服用を避ける。妊婦または妊娠していると思われる人は服用前に医師または薬剤師に相談すること。,"ジヒドロコデイン, メチルエフェドリン","{""basis"":""6錠中"",""ingredients"":[{""name"":""ロキソプロフェンナトリウム水和物"",""id"":""D01709"",""amount"":204.3,""unit"":""mg""},{""name"":""ジヒドロコデインリン酸塩"",""id"":""D01481"",""amount"":24,""unit"":""mg""},{""name"":""dl-メチルエフェドリン塩酸塩"",""id"":""D02109"",""amount"":60,""unit"":""mg""},{""name"":""ブロムヘキシン塩酸塩"",""id"":""D01778"",""amount"":12,""unit"":""mg""},{""name"":""クレマスチンフマル酸塩"",""id"":""D00666"",""amount"":1.34,""unit"":""mg""}]}","{""adult_dose"":""2錠×3回"",""daily_dose"":6,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用不可。授乳中の人は服用を避ける。妊婦または妊娠していると思われる人は服用前に医師または薬剤師に相談すること。"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":2,""capacity_judgment"":""小容量""},{""package_type"":""24錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",かぜの諸症状（鼻水，鼻づまり，くしゃみ，のどの痛み，せき，たん，悪寒，発熱，頭痛，関節の痛み，筋肉の痛み）の緩和,ロキソニン総合かぜ薬,〇,,,,
2026/07/02 1:38:23,3,15才未満の小児,出産予定日12週以内の妊婦は服用禁止。妊婦又は妊娠していると思われる人、授乳中の人は要相談。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""ロキソプロフェンナトリウム水和物"",""id"":""D01709"",""amount"":68.1,""unit"":""mg""}]}","{""adult_dose"":""1錠×3回"",""daily_dose"":3,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""眠気注意"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用禁止。妊婦又は妊娠していると思われる人、授乳中の人は要相談。"",""drug_category"":""解熱鎮痛薬"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",頭痛、歯痛、生理痛をはじめ、抜歯後の疼痛、咽喉痛、耳痛、関節痛、神経痛、腰痛、筋肉痛、肩こり痛、打撲痛、骨折痛、捻挫痛、外傷痛などの鎮痛に効果を発揮します。また、悪寒・発熱時の解熱にも使用できる一般用医薬品です。,ロキソプロフェン錠「LS」,対象外,,,,
2026/07/02 1:40:50,3,15歳未満の小児,出産予定日12週以内の妊婦は服用せず、妊婦または妊娠していると思われる人、授乳中の人は服用前に医師等に相談すること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""ロキソプロフェンナトリウム水和物"",""id"":""D01709"",""amount"":68.1,""unit"":""mg""}]}","{""adult_dose"":""1錠×2回（最大3回）"",""daily_dose"":3,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":"""",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用せず、妊婦または妊娠していると思われる人、授乳中の人は服用前に医師等に相談すること。"",""drug_category"":""解熱鎮痛薬"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",ロキソプロフェン錠「クニヒロ」は、痛みや熱の原因となるプロスタグランジンの生成を抑えるロキソプロフェンナトリウム水和物を成分とした錠剤です。頭痛や生理痛、発熱時の解熱など様々な痛みや熱に効果を発揮します。,ロキソプロフェン錠「クニヒロ」,対象外,,,,
2026/07/02 1:47:13,2,15才未満の小児,授乳中の服用は避ける。妊婦は医師に相談。,-,"{""basis"":""2錠中"",""ingredients"":[{""name"":""フェキソフェナジン塩酸塩"",""id"":""D00671"",""amount"":120,""unit"":""mg""}]}","{""adult_dose"":""1錠×2回"",""daily_dose"":2,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""眠気注意"",""pregnancy_warning"":""授乳中の服用は避ける。妊婦は医師に相談。"",""drug_category"":""鼻炎用内服薬"",""category_limit"":7,""packages"":[{""package_type"":""14錠"",""estimated_days"":7,""capacity_judgment"":""小容量""},{""package_type"":""28錠"",""estimated_days"":14,""capacity_judgment"":""大容量""},{""package_type"":""56錠"",""estimated_days"":28,""capacity_judgment"":""大容量""}]}",第2世代抗ヒスタミン成分フェキソフェナジン塩酸塩を配合したアレルギー専用鼻炎薬。花粉やハウスダストによるくしゃみ、鼻水、鼻づまりなどのアレルギー症状に優れた効果を発揮します。脳に影響を与えにくく眠くなりにくいのが特長で、集中力や判断力の低下も起こしにくいです。1日2回朝夕服用で1日中効果が持続し、空腹時でも服用できます。花粉飛散予測日からの早めの服用が効果的です。,アレグラFX,＊対象外,,,"アレグラFX：Fexofenadineの頭文字「F」、（効き目Effectや、素早くFast届くという意味も）｡「X」は、「未知数、究極、進化」
        アレグラの授乳の件は典型例で、処方薬の添付文書には「治療上の有益性が危険性を上回ると判断される場合にのみ」という定型文が入っていますが、実臨床ではL1（最も安全）に分類されていてほぼ無条件で使える薬。ただし、OTCにおいては「添付文書の文言に忠実」であることが、単なる保守的姿勢ではなく、説明責任の観点から合理的な選択
        「アレグラFXプレミアム」：2025年秋発売、血管収縮剤のプソイドエフェドリン塩酸塩が追加配合(指定濫用対象)｡医療用のディレグラ配合錠と同様､ 閉塞隅角緑内障であれば禁忌",
2026/07/02 17:22:21,3,15歳未満の小児,出産予定日12週以内の妊婦は服用不可。妊婦又は妊娠していると思われる人、授乳中の人は服用前に医師等に相談すること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""イブプロフェン"",""id"":""D00126"",""amount"":150,""unit"":""mg""},{""name"":""ブチルスコポラミン臭化物"",""id"":""D01451"",""amount"":10,""unit"":""mg""}]}","{""adult_dose"":""1錠×3回"",""daily_dose"":3,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止（服用後5〜6時間は乗物・機械類の運転操作不可／抗コリン作用による目のかすみ・異常なまぶしさのため）"",""pregnancy_warning"":""出産予定日12週以内の妊婦は服用不可。妊婦又は妊娠していると思われる人、授乳中の人は服用前に医師等に相談すること。"",""drug_category"":""解熱鎮痛薬"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":4,""capacity_judgment"":""小容量""}]}",エルペインコーワは生理特有の痛みに効く生理痛専用薬です。「ズキズキする痛み」に効くイブプロフェンと「ぎゅ～っとねじれるような痛み」に効くブチルスコポラミン臭化物を配合し、生理特有の痛みに速く、よく効きます。眠くなる成分を含まず、1回1錠、小粒でのみやすい。お腹のゆるさを伴う生理痛にも適しています。,エルペインコーワ,対象外,,,,
2026/07/02 17:31:23,12,5歳未満,妊婦または妊娠していると思われる人は服用前に医師、薬剤師または登録販売者に相談すること,-,"{""basis"":""12錠中"",""ingredients"":[{""name"":""葛根湯エキス(1／2量)"",""id"":""D06698"",""amount"":2.2,""unit"":""g""},{""name"":""カッコン"",""id"":""D06693"",""amount"":4,""unit"":""g""},{""name"":""マオウ"",""id"":""D06791"",""amount"":2,""unit"":""g""},{""name"":""タイソウ"",""id"":""D06758"",""amount"":2,""unit"":""g""},{""name"":""ケイヒ"",""id"":""D06712"",""amount"":1.5,""unit"":""g""},{""name"":""シャクヤク"",""id"":""D06739"",""amount"":1.5,""unit"":""g""},{""name"":""カンゾウ"",""id"":""D04365"",""amount"":1,""unit"":""g""},{""name"":""ショウキョウ"",""id"":""D06744"",""amount"":0.5,""unit"":""g""}]}","{""adult_dose"":""4錠×3回"",""daily_dose"":12,""prohibited_age"":""5歳未満""}","{""driving_warning"":"""",""pregnancy_warning"":""妊婦または妊娠していると思われる人は服用前に医師、薬剤師または登録販売者に相談すること"",""drug_category"":""かぜ薬"",""category_limit"":7,""packages"":[{""package_type"":""60錠"",""estimated_days"":5,""capacity_judgment"":""小容量""},{""package_type"":""150錠"",""estimated_days"":12.5,""capacity_judgment"":""大容量""}]}",本剤は、かぜや肩こりなどに用いられる漢方薬です。食欲はあるが寒気があり、熱が出ても汗が出ない、頭痛があり肩や首筋がこったり、ふしぶしが痛いといったかぜに効果的です。かぜに関係なく肩こりや筋肉痛にも用いられます。,葛根湯エキス錠S「コタロー」,△,,,"葛根湯エキス錠S「コタロー」
        薬効分類が「漢方製剤」「生薬製剤」に該当する場合は、マオウ成分を含んでいても「対象外（漢方製剤）」
        葛根湯の承認書上の有効成分は「葛根湯エキス（マオウ、カッコン、タイソウ等の抽出エキス）」または「生薬粉末」であり、単一の化学成分である「エフェドリン」を有効成分とする製剤とは法規上みなされないため、「法規制の対象」とはされません。
        葛根湯(4)以外にも､小青竜湯(3)/防風通聖散(1.2､長期想定)/麻黄湯(5)/五虎湯･麻杏甘石湯(4)/麻黄附子細辛湯(4)も同様(ﾏｵｳg/日)",
2026/07/02 17:57:40,3,15才未満の小児,授乳中の服用は避けること。妊婦は服用前に医師、薬剤師又は登録販売者に相談すること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""ビサコジル"",""id"":""D00245"",""amount"":5,""unit"":""mg""},{""name"":""センノシド"",""id"":""D02171"",""amount"":20,""unit"":""mg""}]}","{""adult_dose"":""3錠×1回"",""daily_dose"":3,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":"""",""pregnancy_warning"":""授乳中の服用は避けること。妊婦は服用前に医師、薬剤師又は登録販売者に相談すること。"",""drug_category"":""瀉下薬（下剤）"",""category_limit"":5,""packages"":[{""package_type"":""48錠"",""estimated_days"":16,""capacity_judgment"":""大容量""},{""package_type"":""144錠"",""estimated_days"":48,""capacity_judgment"":""大容量""},{""package_type"":""240錠"",""estimated_days"":80,""capacity_judgment"":""大容量""}]}",カイベールCは、ビサコジルとセンノサイドの2つの有効成分を承認基準内最大量配合した便秘薬です。つらい便秘とそれに伴う肌あれ、吹出物、頭重、のぼせ、食欲不振、腹部膨満、腸内異常醗酵、痔といった不快症状に優れた効果を発揮します。1回1～3錠で服用量を調節でき、初回は1錠からお試しいただけます。,カイベールC,対象外,,,,
2026/07/02 18:00:14,3,15歳未満,妊婦又は妊娠していると思われる人は服用前に医師、歯科医師、薬剤師又は登録販売者に相談すること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""アセトアミノフェン"",""id"":""D00217"",""amount"":300,""unit"":""mg""}]}","{""adult_dose"":""1錠×3回"",""daily_dose"":3,""prohibited_age"":""15歳未満""}","{""driving_warning"":"""",""pregnancy_warning"":""妊婦又は妊娠していると思われる人は服用前に医師、歯科医師、薬剤師又は登録販売者に相談すること。"",""drug_category"":""解熱鎮痛薬"",""category_limit"":7,""packages"":[{""package_type"":""12錠"",""estimated_days"":4,""capacity_judgment"":""小容量""},{""package_type"":""24錠"",""estimated_days"":8,""capacity_judgment"":""大容量""},{""package_type"":""36錠"",""estimated_days"":12,""capacity_judgment"":""大容量""}]}",解熱鎮痛成分「アセトアミノフェン」が中枢神経に速やかに作用し、すぐれた鎮痛・解熱効果を発揮します。胃への負担が少なく、眠くなる成分（鎮静催眠成分）を含みません。頭痛、月経痛、歯痛、発熱など幅広い症状に1回1錠でよく効く、速効性とやさしさを兼ね備えた解熱鎮痛薬です。,カロナールA,対象外,,,,
2026/07/02 18:05:38,2,15歳未満の小児、80歳以上の高齢者,妊婦又は妊娠していると思われる人は服用しないこと。授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""ファモチジン"",""id"":""D00318"",""amount"":10,""unit"":""mg""}]}","{""adult_dose"":""1回1錠、1日2回まで"",""daily_dose"":2,""prohibited_age"":""15歳未満の小児、80歳以上の高齢者""}","{""driving_warning"":"""",""pregnancy_warning"":""妊婦又は妊娠していると思われる人は服用しないこと。授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けること。"",""drug_category"":""ヒスタミンH2受容体拮抗剤含有薬"",""category_limit"":5,""packages"":[{""package_type"":""6錠"",""estimated_days"":3,""capacity_judgment"":""小容量""},{""package_type"":""12錠"",""estimated_days"":6,""capacity_judgment"":""大容量""}]}",本剤は、胃痛、もたれ、胸やけ、むかつきに優れた効果を発揮するH2ブロッカー胃腸薬です。従来の胃酸中和型の胃腸薬とは異なるタイプで、胃の不快な症状の原因となる胃酸の出過ぎをコントロールし、胃粘膜の修復を促します。1回1錠の服用で約8時間にわたって胃酸の分泌をコントロールすることができ、携帯に便利なPTP包装となっています。,ガスター10,対象外,,,授乳と薬の専門的な観点（催奇性や乳児への影響）からみると、ファモチジンは授乳中でも比較的安全に使用できる「L1」と考えられています。一方で、市販薬としてのガスター10の添付文書上では「授乳中の人は本剤を服用しないか、服用する場合は授乳を避けて下さい」という注意書きがなされています,
2026/07/02 18:11:42,2,15歳未満の小児、80歳以上の高齢者,妊婦又は妊娠していると思われる人は服用しないこと。授乳中の人は服用しないか、服用する場合は授乳を避けること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""ファモチジン"",""id"":""D00318"",""amount"":10,""unit"":""mg""}]}","{""adult_dose"":""1回1錠、1日2回まで"",""daily_dose"":2,""prohibited_age"":""15歳未満の小児、80歳以上の高齢者""}","{""driving_warning"":"""",""pregnancy_warning"":""妊婦又は妊娠していると思われる人は服用しないこと。授乳中の人は服用しないか、服用する場合は授乳を避けること。"",""drug_category"":""ヒスタミンH2受容体拮抗剤含有薬"",""category_limit"":5,""packages"":[{""package_type"":""6錠"",""estimated_days"":3,""capacity_judgment"":""小容量""},{""package_type"":""12錠"",""estimated_days"":6,""capacity_judgment"":""大容量""}]}",本剤は胃酸中和型の胃腸薬とは異なるタイプの胃腸薬で、胃痛、もたれ、胸やけ、むかつきに優れた効果を発揮します。胃の不快な症状の原因となる胃酸の出過ぎをコントロールし、胃粘膜の修復を促します。携帯に便利なPTP包装を採用しており、口の中の水分を含むと速やかに溶け、水なしでも服用できる速溶錠タイプです。,ガスター10 S錠,対象外,,,ガスター10の市販薬で水なしで飲めるタイプは「S錠」。「S」は「スピードSpeedや、スムーズSmoothを意味。,
2026/07/02 18:16:19,1,15才未満の小児,授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けること。妊婦又は妊娠していると思われる人は服用前に医師、薬剤師又は登録販売者に相談すること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""ロラタジン"",""id"":""D00364"",""amount"":10,""unit"":""mg""}]}","{""adult_dose"":""1回1錠、1日1回"",""daily_dose"":1,""prohibited_age"":""15才未満の小児""}","{""driving_warning"":""眠気注意"",""pregnancy_warning"":""授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けること。妊婦又は妊娠していると思われる人は服用前に医師、薬剤師又は登録販売者に相談すること。"",""drug_category"":""鼻炎用内服薬"",""category_limit"":7,""packages"":[{""package_type"":""7錠"",""estimated_days"":7,""capacity_judgment"":""小容量""},{""package_type"":""14錠"",""estimated_days"":14,""capacity_judgment"":""大容量""},{""package_type"":""28錠"",""estimated_days"":28,""capacity_judgment"":""大容量""},{""package_type"":""56錠"",""estimated_days"":56,""capacity_judgment"":""大容量""}]}",クラリチンEXは、第2世代抗ヒスタミン成分ロラタジンを含有するアレルギー専用鼻炎薬です。花粉やハウスダストなどによる鼻水、鼻づまり、くしゃみといった鼻のアレルギー症状を緩和します。眠くなりにくく、「集中力、判断力、作業効率の低下」を起こしにくいのが特徴で、1日1回1錠の服用で効き目が長く続きます。,クラリチンEX,対象外,,,"クラリチンEX：Extension拡張や、Extra（特別、厳選された）の頭文字に由来。「医療用（処方薬）からスイッチ（転用）された経緯の区別の意図。
        病院のクラリチンは「アレルギー性鼻炎」だけでなく「蕁麻疹」や「皮膚のかゆみ」にも適応があります。一方、市販のクラリチンEXは【鼻のアレルギー症状（鼻水、鼻づまり、くしゃみ）の緩和】に限定されています。対象年齢も、病院のクラリチンは小児（3歳〜）にも処方されますが、クラリチンEXは【15歳未満は服用できません】。
        現状､市販薬では「皮膚の適応」が外されている。（受診遅延の防止､慢性掻痒には第2世代抗ヒスタミン薬単剤による効果に疑問符）",
2026/07/02 18:24:10,6,15歳未満の小児,妊婦又は妊娠していると思われる人は服用しないこと,-,"{""basis"":""2錠中"",""ingredients"":[{""name"":""オキセサゼイン"",""id"":""D01152"",""amount"":5,""unit"":""mg""}]}","{""adult_dose"":""2錠：1日3回まで"",""daily_dose"":6,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""眠気注意"",""pregnancy_warning"":""妊婦又は妊娠していると思われる人は服用しないこと"",""drug_category"":""胃腸鎮痛鎮けい薬"",""category_limit"":5,""packages"":[{""package_type"":""6錠"",""estimated_days"":1,""capacity_judgment"":""小容量""},{""package_type"":""12錠"",""estimated_days"":2,""capacity_judgment"":""小容量""}]}",サクロンQは、胃酸やアルコールなどが胃粘膜を刺激して起きる「さしこみ、胃痛、はきけ」に速く効く胃ぐすりです。有効成分のオキセサゼインが胃粘膜に直接作用し、胃痛、腹痛、吐き気（むかつき、二日酔い・悪酔いのむかつき）、嘔吐、さしこみ、胸やけ、胃酸過多、胃部不快感、げっぷなどのつらい症状を速やかに改善します。,サクロンQ,対象外,,,処方箋薬名では「ストロカイン」,
2026/07/02 18:27:33,0,,,-,"{""basis"":""100枚中"",""ingredients"":[{""name"":""グルコースオキシダーゼ"",""id"":""D10011"",""amount"":371.4,""unit"":""I.U.""},{""name"":""ペルオキシダーゼ"",""id"":""C05785"",""amount"":47.6,""unit"":""I.U.""},{""name"":""o-トリジン"",""id"":""C14443"",""amount"":33.4,""unit"":""mg""},{""name"":""テトラブロムフェノールブルー"",""id"":"""",""amount"":0.72,""unit"":""mg""}]}","{""adult_dose"":""検査薬を尿に約1秒間浸す、又は直接尿を約1秒間かける"",""daily_dose"":0,""prohibited_age"":""""}","{""driving_warning"":"""",""pregnancy_warning"":"""",""drug_category"":""一般用検査薬（尿糖・尿タンパク用）"",""category_limit"":5,""packages"":[{""package_type"":""15枚"",""estimated_days"":null,""capacity_judgment"":""小容量""},{""package_type"":""60枚"",""estimated_days"":null,""capacity_judgment"":""小容量""}]}",身体の健康状態や体内の機能に変化や異常があると、尿中に含まれる成分も変化します。新ウリエースBTは尿中の糖（ブドウ糖）及びたん白（アルブミン）を検出する検査薬ですので、定期的に使用することで、体内の変化や異常をチェックし、健康管理や早期受診にお役立ていただけます。なお、本検査は尿中の糖及びたん白を検出するものであり、病気の診断を行うものではありません。,新ウリエースBT,一般用検査薬,,,,
2026/07/02 18:29:40,1,15歳未満の小児,妊婦又は妊娠していると思われる人は相談すること。授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けること。,-,"{""basis"":""1錠中"",""ingredients"":[{""name"":""セチリジン塩酸塩"",""id"":""D00664"",""amount"":10,""unit"":""mg""}]}","{""adult_dose"":""1回1錠、1日1回（就寝前）"",""daily_dose"":1,""prohibited_age"":""15歳未満の小児""}","{""driving_warning"":""運転禁止"",""pregnancy_warning"":""妊婦又は妊娠していると思われる人は相談すること。授乳中の人は本剤を服用しないか、本剤を服用する場合は授乳を避けること。"",""drug_category"":""鼻炎用内服薬"",""category_limit"":7,""packages"":[{""package_type"":""16錠"",""estimated_days"":16,""capacity_judgment"":""大容量""},{""package_type"":""32錠"",""estimated_days"":32,""capacity_judgment"":""大容量""}]}",本剤はアレルギー専用鼻炎薬で、花粉やハウスダストなどによるくしゃみ、鼻水、鼻づまりといった鼻のアレルギー症状を緩和します。優れた効果を持つ第2世代抗アレルギー成分を配合しており、寝る前に1日1回1錠を服用するだけでしっかり効きます。直径約7ミリの小さな錠剤で飲みやすいのも特徴です。,新コンタック鼻炎Z,＊対象外,,,"新コンタック鼻炎Z：コンタックブランドの中で唯一､指定濫用成分含まない｡
        セチリジン（第2世代）が寝る前1回持続。ただし、セチリジン塩酸塩は「妊婦又は妊娠している可能性のある婦人（禁忌）」と添付に明記
        　その他「600プラス/総合かぜ薬/かぜ総合DX/かぜ総合/せき止めダブル/総合感冒薬EX」等、総じて指定濫用成分含む",
